Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Firefox 138.0.4,,,20-05-2025 03:21:43,20-05-2025 03:21:44,0.443s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 138.0.4,,,20-05-2025 03:21:44,20-05-2025 03:21:45,1.507s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:21:45,20-05-2025 03:21:47,1.142s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Firefox 138.0.4,,,20-05-2025 03:21:47,20-05-2025 03:21:54,7.014s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Firefox 138.0.4,,,20-05-2025 03:21:54,20-05-2025 03:21:54,0.785s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Firefox 138.0.4,,,20-05-2025 03:21:54,20-05-2025 03:21:55,0.325s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Firefox 138.0.4,,,20-05-2025 03:21:55,20-05-2025 03:22:02,7.532s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Firefox 138.0.4,,,20-05-2025 03:22:02,20-05-2025 03:22:03,1.163s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:22:03,20-05-2025 03:22:08,4.731s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Firefox 138.0.4,Edits user profile information.,,20-05-2025 03:22:08,20-05-2025 03:22:32,24.319s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Firefox 138.0.4,,,20-05-2025 03:22:08,20-05-2025 03:22:09,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Firefox 138.0.4,,,20-05-2025 03:22:09,20-05-2025 03:22:09,0.607s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Firefox 138.0.4,,,20-05-2025 03:22:09,20-05-2025 03:22:10,0.802s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Firefox 138.0.4,,,20-05-2025 03:22:10,20-05-2025 03:22:16,6.005s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Firefox 138.0.4,,,20-05-2025 03:22:16,20-05-2025 03:22:17,0.551s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Firefox 138.0.4,,,20-05-2025 03:22:17,20-05-2025 03:22:24,7.765s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Firefox 138.0.4,,,20-05-2025 03:22:24,20-05-2025 03:22:25,0.304s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Firefox 138.0.4,,,20-05-2025 03:22:25,20-05-2025 03:22:32,7.850s,PASSED
,,,,,,,
Test Cases/User Flow/Prodi/TC_AddSubject,Firefox 138.0.4,Adds a new subject to the study program.,,20-05-2025 03:22:33,20-05-2025 03:22:53,20.108s,PASSED
"click(findTestObject(""Object Repository/Page_Penilaian MBKM - Simikro/span_Mata Kuliah""))",Firefox 138.0.4,,,20-05-2025 03:22:33,20-05-2025 03:22:38,5.657s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:22:38,20-05-2025 03:22:42,3.870s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/button_Tambah Mata Kuliah""))",Firefox 138.0.4,,,20-05-2025 03:22:42,20-05-2025 03:22:43,0.660s,PASSED
"setText(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/textarea_Aksi_name""), ""New Subject"")",Firefox 138.0.4,,,20-05-2025 03:22:43,20-05-2025 03:22:44,0.908s,PASSED
"setText(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/input_Aksi_sks""), ""3"")",Firefox 138.0.4,,,20-05-2025 03:22:44,20-05-2025 03:22:44,0.613s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/button_Simpan""))",Firefox 138.0.4,,,20-05-2025 03:22:44,20-05-2025 03:22:49,4.861s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:22:49,20-05-2025 03:22:53,3.283s,PASSED
,,,,,,,
Test Cases/User Flow/Prodi/TC_DeleteSubject,Firefox 138.0.4,Removes an existing subject from the study program.,,20-05-2025 03:22:53,20-05-2025 03:23:10,16.876s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:22:53,20-05-2025 03:22:56,2.893s,PASSED
