Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Login - Simikro/input_Email_email""), Email)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:01,20-05-2025 03:22:05,3.481s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Simikro/input_Password_password""), Password)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:05,20-05-2025 03:22:06,1.150s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Simikro/button_Masuk""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:06,20-05-2025 03:22:17,11.360s,PASSED
pageVerification.GoToDashboard.verifyRoleIsDisplayed(Role),Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:17,20-05-2025 03:22:18,0.609s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:18,20-05-2025 03:22:19,1.226s,PASSED
,,,,,,,
Test Cases/Common/TC_EditProfile,Edge Chromium 136.0.3240.76,Edits user profile information.,,20-05-2025 03:22:19,20-05-2025 03:22:39,20.376s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:19,20-05-2025 03:22:19,0.335s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Pengaturan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:19,20-05-2025 03:22:20,0.415s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:20,20-05-2025 03:22:20,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/span_Profil Pengguna""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:20,20-05-2025 03:22:25,5.021s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:25,20-05-2025 03:22:26,0.643s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/a_Edit Profil""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:26,20-05-2025 03:22:34,7.684s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:34,20-05-2025 03:22:34,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_Profil Master - Simikro/button_Simpan Perubahan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:34,20-05-2025 03:22:39,5.101s,PASSED
,,,,,,,
Test Cases/User Flow/Prodi/TC_AddSubject,Edge Chromium 136.0.3240.76,Adds a new subject to the study program.,,20-05-2025 03:22:39,20-05-2025 03:23:00,20.201s,PASSED
"click(findTestObject(""Object Repository/Page_Penilaian MBKM - Simikro/span_Mata Kuliah""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:40,20-05-2025 03:22:48,7.446s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:48,20-05-2025 03:22:49,1.816s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/button_Tambah Mata Kuliah""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:49,20-05-2025 03:22:50,0.492s,PASSED
"setText(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/textarea_Aksi_name""), ""New Subject"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:50,20-05-2025 03:22:51,1.256s,PASSED
"setText(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/input_Aksi_sks""), ""3"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:51,20-05-2025 03:22:52,0.697s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/button_Simpan""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:52,20-05-2025 03:22:57,5.552s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:22:57,20-05-2025 03:23:00,2.184s,PASSED
,,,,,,,
Test Cases/User Flow/Prodi/TC_DeleteSubject,Edge Chromium 136.0.3240.76,Removes an existing subject from the study program.,,20-05-2025 03:23:00,20-05-2025 03:23:19,19.460s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:23:00,20-05-2025 03:23:01,1.541s,PASSED
"scrollToElement(findTestObject(""Page_Mata Kuliah - Simikro/i_Teknik Informatika_fa fa-trash""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:23:01,20-05-2025 03:23:02,0.311s,PASSED
"click(findTestObject(""Object Repository/Page_Mata Kuliah - Simikro/i_Teknik Informatika_fa fa-trash""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:23:02,20-05-2025 03:23:03,1.249s,PASSED
